id,expname,subject,ip,condnum,choice,submitted,event,name,value,time,mlchoice
393,ChoiceCC_trial2_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionC-Polaris,9/17/2018 15:09,onload,body,body,291,OptionC-Polaris
393,ChoiceCC_trial2_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionC-Polaris,9/17/2018 15:09,subject,random,9,307,OptionC-Polaris
393,ChoiceCC_trial2_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionC-Polaris,9/17/2018 15:09,order,col,0_2_3_4_1,307,OptionC-Polaris
393,ChoiceCC_trial2_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionC-Polaris,9/17/2018 15:09,order,row,0_1_2_3_4_5,307,OptionC-Polaris
393,ChoiceCC_trial2_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionC-Polaris,9/17/2018 15:09,events,open_close,0_0,307,OptionC-Polaris
393,ChoiceCC_trial2_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionC-Polaris,9/17/2018 15:09,mouseover,AnnualFee 3,$95 ,784,OptionC-Polaris
393,ChoiceCC_trial2_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionC-Polaris,9/17/2018 15:09,mouseout,AnnualFee 3,,1168,OptionC-Polaris
393,ChoiceCC_trial2_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionC-Polaris,9/17/2018 15:09,mouseover,3-Apr,10.22%,1201,OptionC-Polaris
393,ChoiceCC_trial2_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionC-Polaris,9/17/2018 15:09,mouseout,3-Apr,,1268,OptionC-Polaris
393,ChoiceCC_trial2_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionC-Polaris,9/17/2018 15:09,mouseover,2-Apr,9.99%,1284,OptionC-Polaris
393,ChoiceCC_trial2_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionC-Polaris,9/17/2018 15:09,mouseout,2-Apr,,1468,OptionC-Polaris
393,ChoiceCC_trial2_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionC-Polaris,9/17/2018 15:09,mouseover,iPeriod 2,6 months,1484,OptionC-Polaris
393,ChoiceCC_trial2_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionC-Polaris,9/17/2018 15:09,mouseout,iPeriod 2,,1801,OptionC-Polaris
393,ChoiceCC_trial2_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionC-Polaris,9/17/2018 15:09,mouseover,iAPR 2,5%,1886,OptionC-Polaris
393,ChoiceCC_trial2_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionC-Polaris,9/17/2018 15:09,mouseout,iAPR 2,,2535,OptionC-Polaris
393,ChoiceCC_trial2_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionC-Polaris,9/17/2018 15:09,mouseover,iAPR 3,5%,2536,OptionC-Polaris
393,ChoiceCC_trial2_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionC-Polaris,9/17/2018 15:09,mouseout,iAPR 3,,2868,OptionC-Polaris
393,ChoiceCC_trial2_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionC-Polaris,9/17/2018 15:09,mouseover,iAPR 4,0%,2868,OptionC-Polaris
393,ChoiceCC_trial2_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionC-Polaris,9/17/2018 15:09,mouseout,iAPR 4,,3101,OptionC-Polaris
