id,expname,subject,ip,condnum,choice,submitted,event,name,value,time,mlchoice
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,onload,body,body,274,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,subject,random,13,291,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,order,col,0_3_1_4_2,291,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,order,row,0_1_2_3_4_5,291,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,events,open_close,0_0,291,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseover,iAPR 3,0%,1430,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseout,iAPR 3,,2480,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseover,iAPR 1,5%,2481,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseout,iAPR 1,,3179,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseover,iAPR 4,N/A (no introductory interest rate),3198,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseout,iAPR 4,,5097,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseover,iAPR 2,0%,5132,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseout,iAPR 2,,6482,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseover,iAPR 4,N/A (no introductory interest rate),6482,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseout,iAPR 4,,6950,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseover,iAPR 1,5%,6951,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseout,iAPR 1,,7500,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseover,iAPR 3,0%,7519,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseout,iAPR 3,,8400,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseover,iAPR 1,5%,8416,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseout,iAPR 1,,8485,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseover,iAPR 3,0%,8502,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseout,iAPR 3,,8568,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseover,iPeriod 3,6 months,8584,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseout,iPeriod 3,,9184,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseover,iPeriod 1,6 months,9200,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseout,iPeriod 1,,9951,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseover,iPeriod4,0 months,9967,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseout,iPeriod4,,10769,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseover,iPeriod 2,6 months,10785,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseout,iPeriod 2,,12553,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseover,iPeriod4,0 months,12553,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseout,iPeriod4,,12920,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseover,iPeriod 1,6 months,12936,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseout,iPeriod 1,,13455,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseover,iPeriod 3,6 months,13487,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseout,iPeriod 3,,14105,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseover,iPeriod 1,6 months,14105,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseout,iPeriod 1,,14272,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseover,iPeriod4,0 months,14288,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseout,iPeriod4,,14455,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseover,iAPR 4,N/A (no introductory interest rate),14487,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseout,iAPR 4,,15139,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseover,iPeriod4,0 months,15155,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseout,iPeriod4,,15939,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseover,4-Apr,14.94%,15956,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseout,4-Apr,,16055,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseover,1-Apr,15.24%,16056,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseout,1-Apr,,16207,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseover,3-Apr,20.99%,16223,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseout,3-Apr,,17140,OptionD-Ascent
392,ChoiceCC_o2,49; PHPSESSID=65337b8b8fa93eb1b115929381743fef,99.184.131.12,-1,OptionD-Ascent,9/17/2018 15:09,mouseover,1-Apr,15.24%,17141,OptionD-Ascent
