id,expname,subject,ip,condnum,choice,submitted,event,name,value,time,mlchoice
4686,ChoiceCC_md,7076,98.212.221.86,-1,OptionD-Gloss,5/15/2019 10:11,onload,body,body,364,OptionD-Gloss
4686,ChoiceCC_md,7076,98.212.221.86,-1,OptionD-Gloss,5/15/2019 10:11,subject,random,7,378,OptionD-Gloss
4686,ChoiceCC_md,7076,98.212.221.86,-1,OptionD-Gloss,5/15/2019 10:11,order,col,0_2_1_4_3,378,OptionD-Gloss
4686,ChoiceCC_md,7076,98.212.221.86,-1,OptionD-Gloss,5/15/2019 10:11,order,row,0_1_2_3_4_5,379,OptionD-Gloss
4686,ChoiceCC_md,7076,98.212.221.86,-1,OptionD-Gloss,5/15/2019 10:11,events,open_close,0_0,379,OptionD-Gloss
4686,ChoiceCC_md,7076,98.212.221.86,-1,OptionD-Gloss,5/15/2019 10:11,mouseover,iAPR 2,0%,2163,OptionD-Gloss
4686,ChoiceCC_md,7076,98.212.221.86,-1,OptionD-Gloss,5/15/2019 10:11,mouseout,iAPR 2,,3283,OptionD-Gloss
4686,ChoiceCC_md,7076,98.212.221.86,-1,OptionD-Gloss,5/15/2019 10:11,mouseover,iAPR 2,0%,3617,OptionD-Gloss
4686,ChoiceCC_md,7076,98.212.221.86,-1,OptionD-Gloss,5/15/2019 10:11,mouseout,iAPR 2,,5458,OptionD-Gloss
4686,ChoiceCC_md,7076,98.212.221.86,-1,OptionD-Gloss,5/15/2019 10:11,mouseover,iAPR 1,5%,5484,OptionD-Gloss
4686,ChoiceCC_md,7076,98.212.221.86,-1,OptionD-Gloss,5/15/2019 10:11,mouseout,iAPR 1,,7245,OptionD-Gloss
4686,ChoiceCC_md,7076,98.212.221.86,-1,OptionD-Gloss,5/15/2019 10:11,mouseover,iAPR 4,N/A (no introductory interest rate),7285,OptionD-Gloss
4686,ChoiceCC_md,7076,98.212.221.86,-1,OptionD-Gloss,5/15/2019 10:11,mouseout,iAPR 4,,8409,OptionD-Gloss
4686,ChoiceCC_md,7076,98.212.221.86,-1,OptionD-Gloss,5/15/2019 10:11,mouseover,iAPR 4,N/A (no introductory interest rate),8792,OptionD-Gloss
4686,ChoiceCC_md,7076,98.212.221.86,-1,OptionD-Gloss,5/15/2019 10:11,mouseout,iAPR 4,,13167,OptionD-Gloss
4686,ChoiceCC_md,7076,98.212.221.86,-1,OptionD-Gloss,5/15/2019 10:11,mouseover,iAPR 3,0%,13260,OptionD-Gloss
4686,ChoiceCC_md,7076,98.212.221.86,-1,OptionD-Gloss,5/15/2019 10:11,mouseout,iAPR 3,,15502,OptionD-Gloss
4686,ChoiceCC_md,7076,98.212.221.86,-1,OptionD-Gloss,5/15/2019 10:11,mouseover,iAPR 2,0%,16008,OptionD-Gloss
4686,ChoiceCC_md,7076,98.212.221.86,-1,OptionD-Gloss,5/15/2019 10:11,mouseout,iAPR 2,,16061,OptionD-Gloss
4686,ChoiceCC_md,7076,98.212.221.86,-1,OptionD-Gloss,5/15/2019 10:11,mouseover,iPeriod 2,6 months,16583,OptionD-Gloss
4686,ChoiceCC_md,7076,98.212.221.86,-1,OptionD-Gloss,5/15/2019 10:11,mouseout,iPeriod 2,,17209,OptionD-Gloss
4686,ChoiceCC_md,7076,98.212.221.86,-1,OptionD-Gloss,5/15/2019 10:11,mouseover,iPeriod 2,6 months,17596,OptionD-Gloss
